,sex,race,age,degree,wrkstat,income,happy
108,Male,White,50,High school,Retired,$10000 - 14999,Pretty happy
109,Female,White,25,Bachelor,Working parttime,$25000 or more,Very happy
110,Male,White,37,Bachelor,Working fulltime,$25000 or more,Pretty happy
111,Female,White,54,Bachelor,Working fulltime,Refused,Very happy
112,Male,Other,52,Junior college,Working fulltime,Refused,Pretty happy
113,Male,White,48,High school,Working fulltime,Refused,Pretty happy
114,Female,Other,32,Graduate,Working fulltime,Refused,Very happy
115,Female,White,29,Bachelor,Working parttime,Lt $1000,Pretty happy
116,Female,White,75,Bachelor,Retired,$25000 or more,Very happy
117,Female,White,59,Graduate,Working fulltime,Refused,Very happy
118,Male,White,81,High school,Retired,$25000 or more,Very happy
119,Female,White,69,High school,Retired,Refused,Pretty happy
120,Female,White,55,Graduate,Working fulltime,Refused,Very happy
121,Female,White,52,High school,Working parttime,$25000 or more,Very happy
122,Female,White,33,Bachelor,Working parttime,Refused,Pretty happy
123,Male,White,56,High school,Working fulltime,Refused,Pretty happy
124,Male,White,71,Graduate,Retired,$25000 or more,Pretty happy
125,Male,White,21,High school,School,Refused,Very happy
126,Female,White,49,High school,Working fulltime,$25000 or more,Very happy
127,Male,White,26,Bachelor,Working fulltime,Refused,Very happy
128,Female,White,33,Bachelor,Working fulltime,$25000 or more,Pretty happy
129,Male,White,36,Graduate,Working fulltime,$25000 or more,Pretty happy
130,Male,Black,68,High school,Retired,$25000 or more,Pretty happy
131,Female,Black,27,Junior college,Working fulltime,$25000 or more,Pretty happy
132,Female,Black,60,High school,Keeping house,$10000 - 14999,Pretty happy
133,Male,White,48,High school,Working fulltime,$25000 or more,Very happy
134,Female,Black,47,High school,Working fulltime,$25000 or more,Not too happy
135,Female,White,36,Junior college,Working fulltime,Refused,Pretty happy
136,Female,White,89 or older,High school,Retired,$15000 - 19999,Pretty happy
137,Female,White,64,High school,Retired,$10000 - 14999,Not too happy
138,Female,White,38,Bachelor,Working fulltime,$25000 or more,Very happy
139,Male,White,62,High school,Retired,$25000 or more,Pretty happy
140,Female,White,62,Bachelor,Keeping house,$25000 or more,Very happy
141,Female,White,65,Junior college,Keeping house,Refused,Very happy
142,Male,White,60,High school,Working fulltime,Don't know,Pretty happy
143,Female,White,47,Bachelor,"Unempl, laid off",$1000 to 2999,Pretty happy
144,Male,White,62,Junior college,Working fulltime,$25000 or more,Pretty happy
145,Female,White,51,Bachelor,Working fulltime,Refused,Very happy
146,Female,White,43,Bachelor,Working parttime,Refused,Pretty happy
147,Male,Other,47,High school,Working fulltime,Refused,Pretty happy
148,Female,White,57,High school,Working fulltime,$25000 or more,Pretty happy
149,Male,White,30,Bachelor,Working fulltime,$25000 or more,Pretty happy
150,Male,White,39,Graduate,Working fulltime,Refused,Pretty happy
151,Female,White,37,Junior college,Working fulltime,$25000 or more,Very happy
152,Female,Other,52,High school,Working parttime,Refused,Very happy
153,Female,Other,61,Graduate,Working parttime,$15000 - 19999,Not too happy
154,Male,White,58,High school,Working fulltime,$25000 or more,Pretty happy
155,Male,White,31,Junior college,Working parttime,$5000 to 5999,Very happy
156,Female,Other,52,Bachelor,Working parttime,$25000 or more,Pretty happy
157,Female,White,46,Junior college,Keeping house,$25000 or more,Very happy
158,Female,White,25,High school,Working fulltime,$25000 or more,Pretty happy
159,Male,Other,54,Lt high school,Working fulltime,$25000 or more,Very happy
160,Female,Other,33,High school,Working fulltime,$25000 or more,Very happy
161,Male,Other,33,Graduate,Working fulltime,$25000 or more,Very happy
162,Female,White,61,High school,Working parttime,$10000 - 14999,Not too happy
163,Female,White,65,No answer,Retired,Refused,Pretty happy
164,Female,White,53,High school,Working fulltime,Don't know,Not too happy
165,Female,Other,66,Lt high school,Keeping house,Don't know,Not too happy
166,Female,White,41,High school,Temp not working,$7000 to 7999,Not too happy
167,Female,White,57,High school,Keeping house,$25000 or more,Pretty happy
168,Male,Black,50,High school,Working fulltime,$25000 or more,Pretty happy
169,Male,Black,75,High school,Retired,Don't know,Not too happy
170,Female,Black,22,Lt high school,Working parttime,$20000 - 24999,Not too happy
171,Male,White,27,Lt high school,Working fulltime,$15000 - 19999,Pretty happy
172,Female,White,20,Lt high school,Working parttime,Lt $1000,Pretty happy
173,Male,White,55,Graduate,Working fulltime,$25000 or more,Pretty happy
174,Female,White,49,High school,Temp not working,$25000 or more,Not too happy
175,Female,Other,51,High school,Working fulltime,$25000 or more,Pretty happy
176,Male,White,56,Bachelor,Working parttime,$25000 or more,Very happy
177,Female,Other,41,Graduate,Keeping house,Refused,Pretty happy
178,Male,White,67,High school,Working parttime,$25000 or more,Pretty happy
179,Female,Black,38,High school,Working parttime,$10000 - 14999,Pretty happy
180,Female,Other,76,Graduate,Retired,$25000 or more,Not too happy
181,Male,Black,66,Junior college,Other,$15000 - 19999,Not too happy
182,Female,Other,84,Bachelor,Retired,$10000 - 14999,Pretty happy
183,Male,Black,32,Lt high school,Keeping house,$8000 to 9999,Not too happy
184,Male,Black,46,Bachelor,Working fulltime,$10000 - 14999,Pretty happy
185,Male,Other,25,High school,School,Don't know,Very happy
186,Male,White,67,Graduate,Retired,$25000 or more,Pretty happy
187,Male,Black,34,High school,Working fulltime,$25000 or more,Pretty happy
188,Female,Other,29,Lt high school,Keeping house,Lt $1000,Not too happy
189,Female,White,51,Lt high school,Keeping house,$15000 - 19999,Pretty happy
190,Female,Other,39,High school,"Unempl, laid off",$20000 - 24999,Pretty happy
191,Female,Other,39,Lt high school,Working fulltime,$15000 - 19999,Pretty happy
192,Female,White,51,Lt high school,Working parttime,$25000 or more,Very happy
193,Female,Other,40,Lt high school,Working fulltime,$25000 or more,Very happy
194,Male,White,32,Lt high school,Working fulltime,$20000 - 24999,Pretty happy
195,Male,White,38,Junior college,Working fulltime,$25000 or more,Very happy
196,Female,White,79,High school,Retired,$20000 - 24999,Very happy
197,Male,Other,49,Bachelor,Working fulltime,$25000 or more,Very happy
198,Male,White,22,Junior college,Working parttime,$25000 or more,Pretty happy
199,Male,Black,30,Bachelor,Working fulltime,$25000 or more,Pretty happy
200,Male,White,47,High school,Working fulltime,Refused,Pretty happy
201,Male,White,55,High school,Working fulltime,$25000 or more,Pretty happy
202,Male,White,30,Bachelor,Working fulltime,$25000 or more,Very happy
203,Male,Black,29,Bachelor,Working fulltime,$25000 or more,Pretty happy
204,Male,White,37,Bachelor,Working fulltime,$25000 or more,Very happy
205,Female,White,67,Graduate,Working parttime,$20000 - 24999,Pretty happy
206,Female,Other,38,Bachelor,Working fulltime,$25000 or more,Pretty happy
207,Female,White,81,High school,Keeping house,Don't know,Not too happy
208,Male,Black,35,Junior college,Working parttime,$20000 - 24999,Pretty happy
209,Male,White,46,Graduate,"Unempl, laid off",Refused,Not too happy
210,Male,White,37,High school,Working fulltime,$25000 or more,Very happy
211,Male,Other,21,High school,School,$25000 or more,Pretty happy
212,Male,White,43,High school,Working parttime,Don't know,Very happy
213,Female,White,45,Bachelor,Keeping house,Refused,Very happy
214,Female,White,76,Graduate,Retired,$25000 or more,Very happy
215,Male,White,77,High school,Retired,$25000 or more,Pretty happy
216,Female,White,61,Bachelor,Working fulltime,$25000 or more,Pretty happy
217,Female,White,45,Lt high school,Working fulltime,$25000 or more,Pretty happy
218,Male,White,47,High school,Working fulltime,$25000 or more,Very happy
219,Male,White,41,Bachelor,Working fulltime,Refused,Very happy
220,Female,Black,19,High school,School,Don't know,Pretty happy
221,Male,Other,50,Lt high school,Working fulltime,$25000 or more,Very happy
222,Male,Other,25,High school,Working fulltime,$25000 or more,Pretty happy
223,Male,White,45,Graduate,Working fulltime,Refused,Very happy
224,Male,White,21,Junior college,Working parttime,$25000 or more,Pretty happy
225,Female,Other,48,High school,Working fulltime,$25000 or more,Very happy
226,Male,Other,25,Graduate,Working fulltime,$25000 or more,Pretty happy
227,Male,White,31,Bachelor,Working fulltime,$25000 or more,Very happy
228,Female,White,33,Bachelor,Working fulltime,$25000 or more,Pretty happy
229,Male,White,72,Bachelor,Retired,$25000 or more,Pretty happy
230,Female,White,70,High school,Retired,$25000 or more,Pretty happy
231,Female,White,66,Bachelor,Retired,Refused,Very happy
232,Female,Other,57,Graduate,Working fulltime,Refused,Very happy
233,Male,White,81,Graduate,Retired,$25000 or more,Pretty happy
234,Male,White,23,Bachelor,Working parttime,Refused,Pretty happy
235,Female,White,48,Bachelor,Working fulltime,$25000 or more,Not too happy
236,Female,White,62,Bachelor,Working parttime,$25000 or more,Pretty happy
237,Male,White,43,High school,Working fulltime,$25000 or more,Pretty happy
238,Female,White,34,High school,Working fulltime,$25000 or more,Very happy
239,Male,Other,36,High school,Working fulltime,$25000 or more,Very happy
240,Male,Other,37,High school,Working fulltime,$25000 or more,Pretty happy
241,Male,White,32,High school,Working fulltime,$25000 or more,Very happy
242,Female,Other,53,Lt high school,Working fulltime,$25000 or more,Very happy
243,Male,White,42,High school,Working fulltime,$25000 or more,Very happy
244,Male,Other,51,High school,Keeping house,$25000 or more,Very happy
245,Female,Other,44,Graduate,"Unempl, laid off",$25000 or more,Pretty happy
246,Female,White,36,High school,Keeping house,$25000 or more,Pretty happy
247,Male,White,49,Junior college,Working fulltime,$25000 or more,Pretty happy
248,Female,Other,49,High school,Working fulltime,Don't know,Very happy
249,Female,White,35,Bachelor,Working fulltime,Refused,Pretty happy
250,Male,White,47,Bachelor,Working fulltime,Refused,Pretty happy
251,Male,Black,29,Bachelor,Working fulltime,Refused,Pretty happy
252,Male,Black,36,Bachelor,Working parttime,$25000 or more,Very happy
253,Male,White,31,High school,Working fulltime,$25000 or more,Pretty happy
254,Male,Black,19,High school,School,Don't know,Not too happy
255,Male,Black,25,High school,Temp not working,Don't know,Pretty happy
256,Female,White,30,Bachelor,Working fulltime,$25000 or more,Very happy
257,Male,White,62,High school,Retired,$25000 or more,Very happy
258,Female,White,35,Graduate,Working fulltime,$25000 or more,Pretty happy
259,Male,Other,41,High school,Working fulltime,Refused,Very happy
260,Female,White,62,Graduate,Temp not working,$25000 or more,Pretty happy
261,Male,White,20,High school,Working fulltime,Lt $1000,Pretty happy
262,Male,White,42,High school,Working fulltime,$25000 or more,Very happy
263,Female,Black,30,High school,"Unempl, laid off",$1000 to 2999,Very happy
264,Female,Other,26,Junior college,Working parttime,$20000 - 24999,Pretty happy
265,Female,White,58,Junior college,Working parttime,$25000 or more,Not too happy
266,Female,White,47,High school,"Unempl, laid off",$25000 or more,Pretty happy
267,Female,Black,61,High school,Retired,$25000 or more,Very happy
268,Male,White,44,Lt high school,Working fulltime,$25000 or more,Pretty happy
269,Female,White,75,Graduate,Retired,$25000 or more,Very happy
270,Female,White,44,Graduate,Keeping house,$25000 or more,Very happy
271,Female,White,36,Bachelor,Working parttime,$25000 or more,Very happy
272,Female,White,62,Bachelor,Retired,$25000 or more,Pretty happy
273,Male,White,37,Bachelor,Working fulltime,$25000 or more,Very happy
274,Female,White,69,High school,Retired,$25000 or more,Very happy
275,Male,White,48,High school,Working fulltime,Don't know,Pretty happy
276,Female,White,44,Graduate,Working fulltime,$25000 or more,Pretty happy
277,Male,White,59,Bachelor,Working fulltime,$25000 or more,Very happy
278,Female,White,61,Junior college,Working fulltime,$25000 or more,Pretty happy
279,Male,White,31,Lt high school,Working fulltime,$25000 or more,Very happy
280,Female,White,54,Lt high school,Keeping house,$25000 or more,Very happy
281,Female,White,49,High school,"Unempl, laid off",$15000 - 19999,Pretty happy
282,Female,White,47,High school,Keeping house,Refused,Pretty happy
283,Female,White,No answer,High school,Working fulltime,$25000 or more,Very happy
284,Female,White,83,High school,Retired,Don't know,Pretty happy
285,Male,Black,38,Junior college,Working fulltime,$25000 or more,Pretty happy
286,Male,Black,47,Junior college,Working fulltime,$15000 - 19999,Very happy
287,Male,White,28,High school,Working fulltime,$25000 or more,Pretty happy
288,Female,White,73,High school,Working fulltime,$25000 or more,Pretty happy
289,Female,White,31,Graduate,Working fulltime,$25000 or more,Pretty happy
290,Male,White,55,Graduate,Working fulltime,Refused,Very happy
291,Male,White,61,Bachelor,Working fulltime,$25000 or more,Pretty happy
292,Male,White,50,Bachelor,Working fulltime,Refused,Very happy
293,Female,White,67,High school,Retired,$10000 - 14999,Very happy
294,Male,White,41,Lt high school,Working fulltime,$25000 or more,Very happy
295,Female,Other,22,High school,Working parttime,$25000 or more,Pretty happy
296,Female,White,60,Bachelor,"Unempl, laid off",$25000 or more,Pretty happy
297,Female,Other,36,Bachelor,Keeping house,$25000 or more,Very happy
298,Female,Other,39,Bachelor,Working fulltime,Refused,Pretty happy
299,Male,Black,40,Bachelor,Working fulltime,$25000 or more,Pretty happy
300,Female,Black,23,High school,Keeping house,$20000 - 24999,Pretty happy
301,Female,Black,63,Lt high school,Keeping house,$10000 - 14999,Not too happy
302,Male,Black,60,High school,Keeping house,$20000 - 24999,Pretty happy
303,Male,Black,40,High school,Working fulltime,$20000 - 24999,Very happy
304,Male,Black,40,High school,Working fulltime,$25000 or more,Pretty happy
305,Female,White,30,Graduate,Working fulltime,$25000 or more,Very happy
306,Female,Other,43,High school,Keeping house,$25000 or more,Very happy
307,Female,Other,52,Lt high school,Working fulltime,$20000 - 24999,Pretty happy
308,Male,White,No answer,Bachelor,Working fulltime,Refused,Not too happy
309,Female,Other,25,High school,"Unempl, laid off",$10000 - 14999,Pretty happy
310,Male,White,No answer,Graduate,Working fulltime,Refused,Pretty happy
311,Male,White,58,Bachelor,Retired,Refused,Pretty happy
312,Male,White,60,High school,Working fulltime,$25000 or more,Very happy
313,Male,White,44,Bachelor,Working fulltime,$25000 or more,Pretty happy
314,Male,White,69,Bachelor,Retired,$25000 or more,Pretty happy
315,Male,White,66,High school,Working fulltime,$25000 or more,Very happy
316,Male,Black,43,High school,Working fulltime,$25000 or more,Very happy
317,Male,White,37,High school,Working fulltime,$20000 - 24999,Very happy
318,Male,Other,28,High school,Working parttime,$25000 or more,Pretty happy
319,Female,White,69,Bachelor,Retired,$25000 or more,Pretty happy
320,Female,Other,27,Lt high school,Keeping house,$3000 to 3999,Pretty happy
321,Female,White,60,Bachelor,Temp not working,$25000 or more,Pretty happy
322,Female,Black,62,Junior college,Retired,$25000 or more,Pretty happy
323,Male,Black,74,High school,Retired,$15000 - 19999,Not too happy
324,Female,White,32,High school,Keeping house,Lt $1000,Not too happy
325,Female,White,68,High school,Retired,$25000 or more,Pretty happy
326,Male,White,39,High school,Working fulltime,$25000 or more,Pretty happy
327,Female,Other,21,High school,Working parttime,$25000 or more,Very happy
328,Female,White,52,Bachelor,Working fulltime,Refused,Very happy
329,Male,White,46,Bachelor,Working fulltime,Refused,Pretty happy
330,Male,White,56,High school,Retired,Refused,Pretty happy
331,Male,White,60,Bachelor,Working fulltime,$25000 or more,Very happy
332,Male,White,22,High school,Working fulltime,$25000 or more,Very happy
333,Male,Other,42,High school,Working fulltime,$25000 or more,Very happy
334,Male,Other,35,High school,Working fulltime,$25000 or more,Not too happy
335,Female,Other,42,Bachelor,Working fulltime,$25000 or more,Pretty happy
336,Male,White,58,Bachelor,Working fulltime,$25000 or more,Very happy
337,Female,White,32,Bachelor,Working fulltime,$25000 or more,Pretty happy
338,Female,White,59,Bachelor,Retired,Refused,Very happy
339,Male,White,20,High school,School,$25000 or more,Pretty happy
340,Male,White,44,Graduate,Working fulltime,$25000 or more,Very happy
341,Female,White,34,High school,Working parttime,$25000 or more,Pretty happy
342,Female,White,62,Graduate,Working fulltime,Refused,Very happy
343,Male,White,59,Bachelor,Working parttime,$25000 or more,Pretty happy
344,Female,White,51,Bachelor,Working fulltime,$25000 or more,Pretty happy
345,Male,White,37,Graduate,Working fulltime,$25000 or more,Pretty happy
346,Male,White,50,Graduate,Working fulltime,Refused,Pretty happy
347,Female,White,40,High school,Working fulltime,$25000 or more,Not too happy
348,Male,White,53,High school,Working fulltime,$25000 or more,Pretty happy
349,Male,White,52,High school,Working fulltime,$25000 or more,Pretty happy
350,Female,White,52,High school,Working parttime,$25000 or more,Very happy
351,Female,White,36,Graduate,Keeping house,Refused,Very happy
352,Female,White,46,High school,Working fulltime,$25000 or more,Pretty happy
353,Male,White,56,High school,Working fulltime,$25000 or more,Pretty happy
354,Female,White,64,High school,Keeping house,$25000 or more,Very happy
355,Female,Black,62,Graduate,Working fulltime,$25000 or more,Pretty happy
356,Female,Other,35,Bachelor,Working parttime,$25000 or more,Pretty happy
357,Male,White,60,Junior college,Working fulltime,$25000 or more,Pretty happy
358,Female,Black,36,Junior college,Working fulltime,$25000 or more,Pretty happy
359,Female,White,62,High school,Working fulltime,Refused,Very happy
360,Male,White,30,High school,Working fulltime,$25000 or more,Pretty happy
361,Male,White,27,High school,Working fulltime,$25000 or more,Pretty happy
362,Male,White,79,Graduate,Retired,$25000 or more,Pretty happy
363,Female,White,60,High school,Working fulltime,$25000 or more,Pretty happy
364,Male,White,51,Graduate,Working fulltime,Refused,Very happy
365,Female,White,42,High school,Working fulltime,$25000 or more,Not too happy
366,Male,White,59,Lt high school,Other,$25000 or more,Pretty happy
367,Male,White,49,High school,"Unempl, laid off",$20000 - 24999,Pretty happy
368,Female,White,53,High school,Working fulltime,Don't know,Very happy
369,Male,White,47,High school,Working fulltime,$25000 or more,Very happy
370,Female,Other,41,Graduate,Working fulltime,Refused,Very happy
371,Female,White,47,Graduate,Keeping house,Refused,Very happy
372,Male,White,64,High school,Working parttime,Refused,Very happy
373,Female,Other,80,Graduate,Retired,$25000 or more,Pretty happy
374,Female,White,61,High school,Keeping house,Refused,Pretty happy
375,Female,White,34,Graduate,Working fulltime,$25000 or more,Pretty happy
376,Male,Black,31,High school,Working fulltime,$25000 or more,Very happy
377,Female,White,29,Bachelor,Keeping house,$25000 or more,Not too happy
378,Male,White,No answer,High school,Working fulltime,Refused,Pretty happy
379,Female,Black,68,Graduate,Working fulltime,$25000 or more,Pretty happy
380,Male,White,89 or older,Graduate,Retired,$25000 or more,Pretty happy
381,Female,White,76,Graduate,Retired,Refused,Very happy
382,Male,White,64,High school,Retired,$10000 - 14999,Pretty happy
383,Female,Black,40,High school,Working fulltime,$25000 or more,Pretty happy
384,Female,Black,27,Bachelor,Working fulltime,Refused,Pretty happy
385,Female,Black,56,Bachelor,Working fulltime,$25000 or more,Pretty happy
386,Female,Black,71,Bachelor,Working parttime,Refused,Pretty happy
387,Female,Black,29,Bachelor,Working fulltime,$25000 or more,Pretty happy
388,Female,White,74,Bachelor,Retired,$25000 or more,Very happy
389,Female,Black,30,Bachelor,Working fulltime,Refused,Pretty happy
390,Female,Black,65,Bachelor,Retired,$25000 or more,Very happy
391,Female,Black,41,High school,Working parttime,$25000 or more,Pretty happy
392,Male,White,38,Graduate,Working fulltime,$25000 or more,Pretty happy
393,Male,White,49,High school,Working fulltime,$25000 or more,Pretty happy
394,Male,White,25,Bachelor,School,$25000 or more,Very happy
395,Female,White,25,Graduate,Working fulltime,$25000 or more,Pretty happy
396,Female,Black,26,High school,School,$25000 or more,Not too happy
397,Female,White,34,Graduate,Working fulltime,$25000 or more,Very happy
398,Female,White,34,Bachelor,Working fulltime,$25000 or more,Very happy
399,Male,Black,36,Bachelor,Working fulltime,$25000 or more,Pretty happy
400,Male,White,59,Lt high school,Working fulltime,$25000 or more,Pretty happy
401,Female,White,49,High school,Temp not working,$25000 or more,Very happy
402,Female,White,45,Junior college,Working fulltime,$25000 or more,Pretty happy
403,Male,Black,34,High school,Working fulltime,$25000 or more,Pretty happy
404,Male,Other,44,Graduate,Working fulltime,Refused,Pretty happy
405,Female,White,66,High school,Retired,$25000 or more,Very happy
406,Female,White,53,High school,Keeping house,$25000 or more,Not too happy
407,Female,Other,59,Graduate,Working fulltime,$25000 or more,Very happy
408,Female,White,43,Bachelor,Working fulltime,Refused,Very happy
409,Male,White,44,Graduate,Working fulltime,$25000 or more,Not too happy
410,Male,White,68,Graduate,Retired,$15000 - 19999,Pretty happy
411,Male,White,37,Bachelor,Working fulltime,$25000 or more,Pretty happy
412,Male,White,37,High school,Working fulltime,$25000 or more,Pretty happy
413,Male,White,48,Graduate,Working fulltime,$25000 or more,Pretty happy
414,Female,Black,34,High school,Working fulltime,$20000 - 24999,Pretty happy
415,Male,Black,25,High school,Working fulltime,$25000 or more,Pretty happy
416,Female,White,44,High school,Working fulltime,$25000 or more,Pretty happy
417,Female,Black,63,Lt high school,Other,Don't know,Very happy
418,Male,Black,26,High school,Working fulltime,Don't know,Pretty happy
419,Female,Black,64,High school,Retired,$20000 - 24999,Not too happy
420,Male,White,21,High school,Working parttime,$25000 or more,Pretty happy
421,Female,Black,31,Lt high school,Working fulltime,$25000 or more,Very happy
422,Female,White,27,High school,Working parttime,$25000 or more,Pretty happy
